Year,Milk cows and heifers that have calved,"Replace-ment heifers, 500+ pounds",Replace-ments per 100 cows,Average number of milk cows in the United States,Milk per cow,Milk production,Average price paid for milk1,Dairy ration value2,Milk-feed ratio3,Milk_Cow_Price,Milk volume required to buy a cow,Alfalfa hay price received by farmers4,"Slaughter cow 
price5"
1980,"10,849 ","4,342 ",40.0 ,"10,799 ","11,891 ","128,406 ",13.00,4.84,2.72,"1,190 ","9,154",72.00,45.73
1981,"10,986 ","4,547 ",41.4 ,"10,898 ","12,183 ","132,770 ",13.80,5.04,2.76,"1,200 ","8,696",70.90,41.93
1982,"11,047 ","4,545 ",41.1 ,"11,011 ","12,306 ","135,505 ",13.60,4.42,3.09,"1,110 ","8,162",72.73,39.96
1983,"11,059 ","4,533 ",41.0 ,"11,059 ","12,622 ","139,588 ",13.60,5.24,2.61,"1,030 ","7,574",78.70,39.35
1984,"10,777 ","4,770 ",44.3 ,"10,793 ","12,541 ","135,351 ",13.50,5.34,2.54,895 ,"6,630",79.48,39.81
1985,"11,116 ","4,709 ",42.4 ,"10,981 ","13,024 ","143,012 ",12.70,4.50,2.84,860 ,"6,772",73.68,38.31
1986,"10,466 ","4,305 ",41.1 ,"10,773 ","13,285 ","143,124 ",12.50,3.77,3.39,820 ,"6,560",64.64,37.18
1987,"10,311 ","4,122 ",40.0 ,"10,327 ","13,819 ","142,709 ",12.50,3.45,3.64,920 ,"7,360",65.97,44.80
1988,"10,138 ","4,117 ",40.6 ,"10,224 ","14,185 ","145,034 ",12.20,4.72,2.63,990 ,"8,115",82.51,47.91
1989,"10,015 ","4,171 ",41.6 ,"10,046 ","14,323 ","143,893 ",13.60,5.07,2.70,"1,030 ","7,574",95.98,50.11
1990,"9,966 ","4,093 ",41.1 ,"9,993 ","14,782 ","147,721 ",13.70,4.86,2.82,"1,160 ","8,467",92.56,53.32
1991,"9,728 ","4,131 ",42.5 ,"9,826 ","15,031 ","147,697 ",12.20,4.49,2.74,"1,100 ","9,016",78.96,51.50
1992,"9,658 ","4,176 ",43.2 ,"9,688 ","15,570 ","150,847 ",13.10,4.37,3.01,"1,130 ","8,626",75.51,49.69
1993,"9,507 ","4,125 ",43.4 ,"9,581 ","15,722 ","150,636 ",12.80,4.60,2.80,"1,160 ","9,063",86.67,50.14
1994,"9,482 ","4,121 ",43.5 ,"9,494 ","16,179 ","153,602 ",13.00,4.93,2.65,"1,170 ","9,000",93.63,45.03
1995,"9,420 ","4,090 ",43.4 ,"9,466 ","16,405 ","155,292 ",12.70,4.91,2.59,"1,130 ","8,898",88.09,38.12
1996,"9,318 ","4,058 ",43.6 ,"9,372 ","16,433 ","154,006 ",14.90,6.15,2.44,"1,090 ","7,315",95.03,33.00
1997,"9,199 ","3,986 ",43.3 ,"9,252 ","16,871 ","156,091 ",13.30,5.62,2.38,"1,100 ","8,271",110.69,36.93
1998,"9,128 ","4,069 ",44.6 ,"9,151 ","17,185 ","157,262 ",15.50,4.73,3.34,"1,120 ","7,226",94.28,35.54
